smurf_band,smurf_chan,smurf_freq,vna_freq,design_freq,index,mux_band,pad,mux_posn,biasline,pol,freq,det_row,det_col,rhomb,opt,det_x,det_y
4.0,332.0,4369.07,4369.07,4323.25214285714,19.0,2.0,9.0,27.0,7.0,B,90,11.0,7.0,C,1.0,-41.27997799999999,-34.779542
4.0,396.0,4370.32,4370.32,4325.12285714286,20.0,2.0,13.0,27.0,7.0,B,90,11.0,5.0,C,1.0,-46.579978,-25.599673
4.0,460.0,4371.006,4371.006,4328.8642857142895,22.0,2.0,21.0,27.0,7.0,B,90,11.0,1.0,C,1.0,-57.179978,-7.239935
4.0,44.0,4373.328,4373.328,4330.735,23.0,2.0,25.0,27.0,7.0,A,90,10.0,11.0,C,1.0,-25.379977999999998,-53.139281
4.0,108.0,4376.574,4376.574,4332.605714285711,24.0,2.0,29.0,27.0,7.0,A,90,10.0,9.0,C,1.0,-30.679978,-43.959412
4.0,300.0,4379.686,4379.686,4334.476428571429,25.0,2.0,33.0,27.0,7.0,A,90,10.0,7.0,C,1.0,-35.979977999999996,-34.779542
4.0,28.0,4382.094,4382.094,4336.347142857139,26.0,2.0,37.0,27.0,7.0,A,90,10.0,5.0,C,1.0,-41.27997799999999,-25.599673
4.0,92.0,4382.786,4382.786,4338.21785714286,27.0,2.0,41.0,27.0,7.0,A,90,10.0,3.0,C,1.0,-46.579978,-16.419804
4.0,156.0,4384.242,4384.242,4340.0885714285705,28.0,2.0,45.0,27.0,7.0,A,90,10.0,1.0,C,1.0,-51.879977999999994,-7.239935
4.0,220.0,4386.682,4386.682,4341.95928571429,29.0,2.0,49.0,27.0,7.0,D,D,10.0,0.0,C,0.0,4.14,-7.170690343000001
4.0,284.0,4388.188,4388.188,4343.83,30.0,2.0,53.0,27.0,7.0,B,90,9.0,10.0,C,1.0,-22.729978,-48.549346
4.0,348.0,4388.78,4388.78,4345.70071428571,31.0,2.0,57.0,27.0,7.0,B,90,9.0,8.0,C,1.0,-28.029978,-39.369476999999996
4.0,412.0,4390.506,4390.506,4347.571428571429,32.0,2.0,61.0,27.0,7.0,B,90,9.0,6.0,C,1.0,-33.329978,-30.189607999999996
4.0,2.0,4402.698,4402.698,4351.571428571429,33.0,2.0,0.0,27.0,10.0,A,90,11.0,11.0,C,1.0,-30.679978,-53.139281
4.0,66.0,4403.87,4403.87,4353.4421428571395,34.0,2.0,4.0,27.0,10.0,A,90,11.0,9.0,C,1.0,-35.979977999999996,-43.959412
4.0,130.0,4405.206,4405.206,4355.312857142861,35.0,2.0,8.0,27.0,10.0,A,90,11.0,7.0,C,1.0,-41.27997799999999,-34.779542
4.0,258.0,4406.794,4406.794,4357.183571428571,36.0,2.0,12.0,27.0,10.0,A,90,11.0,5.0,C,1.0,-46.579978,-25.599673
4.0,322.0,4407.708,4407.708,4359.05428571429,37.0,2.0,16.0,27.0,10.0,A,90,11.0,3.0,C,1.0,-51.879977999999994,-16.419804
4.0,386.0,4409.33,4409.33,4360.925,38.0,2.0,20.0,27.0,10.0,A,90,11.0,1.0,C,1.0,-57.179978,-7.239935
