Band,Index,UFM Frequency
9,50,5410604000.0
9,51,5411916000.0
9,52,5413138000.0
9,53,5414772000.0
9,54,5416734000.0
9,55,5418398000.0
10,0,5420032000.0
9,57,5421138000.0
9,58,5422322000.0
10,2,5423180000.0
10,3,5424380000.0
9,60,5425816000.0
9,61,5427162000.0
10,7,5429678000.0
10,8,5431844000.0
10,9,5433282000.0
9,63,5433980000.0
10,10,5434844000.0
9,64,5436236000.0
10,11,5436912000.0
9,65,5438620000.0
10,12,5439164000.0
10,13,5441180000.0
10,14,5443512000.0
10,15,5444576000.0
10,16,5445482000.0
10,17,5451728000.0
10,18,5453118000.0
10,19,5454898000.0
10,20,5456218000.0
10,21,5457336000.0
10,22,5458902000.0
10,23,5460514000.0
10,24,5463156000.0
10,25,5465328000.0
10,26,5466970000.0
10,27,5468260000.0
10,28,5470722000.0
10,29,5472922000.0
10,30,5475380000.0
10,31,5476880000.0
10,32,5477812000.0
10,33,5520628000.0
10,34,5522314000.0
10,35,5523848000.0
10,36,5525164000.0
10,37,5526428000.0
10,38,5527786000.0
10,39,5529066000.0
10,40,5531432000.0
10,41,5533290000.0
10,42,5535562000.0
10,43,5537618000.0
10,44,5539972000.0
10,45,5542052000.0
10,46,5544626000.0
10,47,5546730000.0
10,48,5548172000.0
10,49,5549112000.0
10,50,5554860000.0
10,51,5556302000.0
10,52,5557824000.0
10,53,5558944000.0
10,54,5560344000.0
10,55,5561628000.0
10,56,5565442000.0
10,57,5567140000.0
10,58,5569700000.0
10,59,5572068000.0
10,60,5574294000.0
10,61,5576520000.0
10,62,5578796000.0
10,63,5580516000.0
10,64,5581806000.0
10,65,5583580000.0
11,3,5584950000.0
11,4,5586330000.0
11,5,5588330000.0
11,6,5589902000.0
11,8,5594440000.0
11,9,5595446000.0
11,10,5596596000.0
11,11,5600026000.0
11,12,5601516000.0
11,13,5602508000.0
11,14,5604382000.0
11,15,5605836000.0
11,16,5608840000.0
11,18,5615794000.0
11,19,5617266000.0
11,20,5618458000.0
11,21,5619854000.0
11,22,5621988000.0
11,23,5623686000.0
11,24,5626360000.0
11,25,5628118000.0
11,27,5631666000.0
11,28,5633904000.0
11,29,5635180000.0
11,30,5636342000.0
11,31,5638808000.0
11,32,5640456000.0
11,33,5647662000.0
11,34,5649766000.0
11,35,5650890000.0
