Detector,x,y,z_avg,z_150GHz,z_90GHz
261,11.009956,-4.589935,1.8715,1.812,1.931
262,8.359956,-9.179869,1.8715,1.812,1.931
263,34.859956,45.899346,1.8715,1.812,1.931
264,32.209956,41.309412,1.8715,1.812,1.931
265,29.559956,36.719477,1.8715,1.812,1.931
266,26.909956,32.129542,1.8715,1.812,1.931
267,24.259956,27.539608,1.8715,1.812,1.931
268,21.609956,22.949673,1.8715,1.812,1.931
269,18.959956,18.359739,1.8715,1.812,1.931
270,16.309956,13.769804,1.8715,1.812,1.931
271,13.659956,9.179869,1.8715,1.812,1.931
272,11.009956,4.589935,1.8715,1.812,1.931
273,8.359956,0,1.8715,1.812,1.931
274,5.709956,-4.589935,1.8715,1.812,1.931
275,32.209956,50.489281,1.8715,1.812,1.931
276,29.559956,45.899346,1.8715,1.812,1.931
277,26.909956,41.309412,1.8715,1.812,1.931
278,24.259956,36.719477,1.8715,1.812,1.931
279,21.609956,32.129542,1.8715,1.812,1.931
280,18.959956,27.539608,1.8715,1.812,1.931
281,16.309956,22.949673,1.8715,1.812,1.931
282,13.659956,18.359739,1.8715,1.812,1.931
283,11.009956,13.769804,1.8715,1.812,1.931
284,8.359956,9.179869,1.8715,1.812,1.931
285,5.709956,4.589935,1.8715,1.812,1.931
286,3.059956,0,1.8715,1.812,1.931
287,-30.679978,-53.139281,1.8715,1.812,1.931
288,-33.329978,-48.549346,1.8715,1.812,1.931
289,-35.979978,-43.959412,1.8715,1.812,1.931
290,-38.629978,-39.369477,1.8715,1.812,1.931
291,-41.279978,-34.779542,1.8715,1.812,1.931
292,-43.929978,-30.189608,1.8715,1.812,1.931
293,-46.579978,-25.599673,1.8715,1.812,1.931
294,-49.229978,-21.009739,1.8715,1.812,1.931
295,-51.879978,-16.419804,1.8715,1.812,1.931
296,-54.529978,-11.829869,1.8715,1.812,1.931
297,-57.179978,-7.239935,1.8715,1.812,1.931
298,-59.829978,-2.65,1.8715,1.812,1.931
299,-25.379978,-53.139281,1.8715,1.812,1.931
300,-28.029978,-48.549346,1.8715,1.812,1.931
301,-30.679978,-43.959412,1.8715,1.812,1.931
302,-33.329978,-39.369477,1.8715,1.812,1.931
303,-35.979978,-34.779542,1.8715,1.812,1.931
304,-38.629978,-30.189608,1.8715,1.812,1.931
305,-41.279978,-25.599673,1.8715,1.812,1.931
306,-43.929978,-21.009739,1.8715,1.812,1.931
307,-46.579978,-16.419804,1.8715,1.812,1.931
308,-49.229978,-11.829869,1.8715,1.812,1.931
309,-51.879978,-7.239935,1.8715,1.812,1.931
310,-54.529978,-2.65,1.8715,1.812,1.931
