Edge,Index,Detector wafer bond pad,DCXpos,DCypos,DTGrouptype,DTGroupindex,DTGoupsection,DTPadlabel,DTPadxpos,DTPadypos,DTPixelrow,DTPixelcolumn,DTPixelsection,DTPixelxcenter,DTPixelycenter,DTRawangle,DTActualangle,DTSignaldescription,BiasName,Bias line,SQUID,SQUID_PIN,Mux chip position,x,y
XBR,XBR099,,58582.79,9200.14,RowPad,10,B,X00-,60011.728,10025.136,10,0,B,29559.956,-45899.346,0,0,NC,URNY_B2,3,SQ_12,SQ_12_Ch_49_-,11,27990,48480.1021
XBR,XBR149,,55932.79,13790.07,RowPad,9,B,X00-,57361.728,14615.07,9,0,B,26909.956,-41309.412,0,0,NC,URNY_B1,0,SQ_13,SQ_13_Ch_10_-,10,25340,43890.16746
XBR,XBR199,,53282.79,18380.01,RowPad,8,B,X00-,54711.728,19205.005,8,0,B,24259.956,-36719.477,0,0,NC,URNY_B2,3,SQ_13,SQ_13_Ch_35_-,10,22690,39300.23282
XBR,XBR249,,50632.79,22969.94,RowPad,7,B,X00-,52061.728,23794.939,7,0,B,21609.956,-32129.542,0,0,NC,URNY_B1,0,SQ_13,SQ_13_Ch_60_-,10,20040,34710.29818
XBR,XBR299,,47982.79,27559.88,RowPad,6,B,X00-,49411.728,28384.874,6,0,B,18959.956,-27539.608,0,0,NC,URNY_B2,3,SQ_09,SQ_09_Ch_21_-,9,17390,30120.36354
XBR,XBR349,,45332.79,32149.81,RowPad,5,B,X00-,46761.728,32974.809,5,0,B,16309.956,-22949.673,0,0,NC,URNY_B1,0,SQ_09,SQ_09_Ch_46_-,9,14740,25530.4289
XBR,XBR399,,42682.79,36739.75,RowPad,4,B,X00-,44111.728,37564.743,4,0,B,13659.956,-18359.739,0,0,NC,URNY_B2,3,SQ_08,SQ_08_Ch_7_-,8,12090,20940.49426
XBR,XBR449,,40032.79,41329.68,RowPad,3,B,X00-,41461.728,42154.678,3,0,B,11009.956,-13769.804,0,0,NC,URNY_B1,0,SQ_08,SQ_08_Ch_32_-,8,9440,16350.55962
XBR,XBR499,,37382.79,45919.61,RowPad,2,B,X00-,38811.728,46744.613,2,0,B,8359.956,-9179.869,0,0,NC,URNY_B2,3,SQ_08,SQ_08_Ch_57_-,8,6790,11760.62498
XBR,XBR549,,34732.79,50509.55,RowPad,1,B,X00-,36161.728,51334.547,1,0,B,5709.956,-4589.935,0,0,NC,URNY_B1,0,SQ_05,SQ_05_Ch_38_-,3,4140,7170.690343
XBR,XBR599,,32272.79,54770.39,RowPad,0,B,X00-,33701.728,55595.392,0,0,B,3059.956,0,0,0,NC,URNY_B2,3,SQ_05,SQ_05_Ch_63_-,3,1490,2580.755703
XCR,XCR049,,-26623.84,-55334.25,RowPad,11,C,X00-,-26623.842,-56984.248,11,0,C,-59829.978,-2650,0,-120,NC,LNY_B1,10,SQ_25,SQ_25_Ch_24_-,27,30640,-53070.03674
XCR,XCR099,,-21323.84,-55334.25,RowPad,10,C,X00-,-21323.842,-56984.248,10,0,C,-54529.978,-2650,0,-120,NC,LNY_B2,7,SQ_25,SQ_25_Ch_49_-,27,27990,-48480.1021
XCR,XCR149,,-16023.84,-55334.25,RowPad,9,C,X00-,-16023.842,-56984.248,9,0,C,-49229.978,-2650,0,-120,NC,LNY_B1,10,SQ_22,SQ_22_Ch_10_-,22,25340,-43890.16746
XCR,XCR199,,-10723.84,-55334.25,RowPad,8,C,X00-,-10723.842,-56984.248,8,0,C,-43929.978,-2650,0,-120,NC,LNY_B2,7,SQ_23,SQ_23_Ch_45_-,23,22690,-39300.23282
XCR,XCR249,,-5423.84,-55334.25,RowPad,7,C,X00-,-5423.842,-56984.248,7,0,C,-38629.978,-2650,0,-120,NC,LNY_B1,10,SQ_26,SQ_26_Ch_6_-,26,20040,-34710.29818
XCR,XCR299,,-123.84,-55334.25,RowPad,6,C,X00-,-123.842,-56984.248,6,0,C,-33329.978,-2650,0,-120,NC,LNY_B2,7,SQ_26,SQ_26_Ch_31_-,26,17390,-30120.36354
XCR,XCR349,,5176.16,-55334.25,RowPad,5,C,X00-,5176.158,-56984.248,5,0,C,-28029.978,-2650,0,-120,NC,LNY_B1,10,SQ_26,SQ_26_Ch_56_-,26,14740,-25530.4289
XCR,XCR399,,10476.16,-55334.25,RowPad,4,C,X00-,10476.158,-56984.248,4,0,C,-22729.978,-2650,0,-120,NC,LNY_B2,7,SQ_23,SQ_23_Ch_17_-,23,12090,-20940.49426
XCR,XCR449,,15776.16,-55334.25,RowPad,3,C,X00-,15776.158,-56984.248,3,0,C,-17429.978,-2650,0,-120,NC,LNY_B1,10,SQ_24,SQ_24_Ch_52_-,24,9440,-16350.55962
XCR,XCR499,,21076.16,-55334.25,RowPad,2,C,X00-,21076.158,-56984.248,2,0,C,-12129.978,-2650,0,-120,NC,LNY_B2,7,SQ_27,SQ_27_Ch_13_-,25,6790,-11760.62498
XCR,XCR549,,26376.16,-55334.25,RowPad,1,C,X00-,26376.158,-56984.248,1,0,C,-6829.978,-2650,0,-120,NC,LNY_B1,10,SQ_27,SQ_27_Ch_38_-,25,4140,-7170.690343
XCR,XCR599,,31296.16,-55334.25,RowPad,0,C,X00-,31296.158,-56984.248,0,0,C,-1529.978,-2650,0,-120,NC,LNY_B2,7,SQ_27,SQ_27_Ch_63_-,25,1490,-2580.755703
XAR,XAR000,0,-32928.95,53633.89,RowPad,11,A,T11+,-34686.616,54729.515,11,11,A,-30679.978,53139.281,157.5,277.5,90ghz,ULNY_B1,2,SQ_03,SQ_03_Ch_0_+,5,-30679.978,53139.281
XAR,XAR050,25,-35578.95,49043.96,RowPad,10,A,T11+,-37336.616,50139.58,10,11,A,-33329.978,48549.346,112.5,232.5,90ghz,ULNY_B2,5,SQ_03,SQ_03_Ch_25_+,5,-33329.978,48549.346
XAR,XAR100,50,-38228.95,44454.02,RowPad,9,A,T11+,-39986.616,45549.645,9,11,A,-35979.978,43959.412,157.5,277.5,90ghz,ULNY_B1,2,SQ_07,SQ_07_Ch_6_+,7,-35979.978,43959.412
XAR,XAR150,75,-40878.95,39864.09,RowPad,8,A,T11+,-42636.616,40959.711,8,11,A,-38629.978,39369.477,112.5,232.5,90ghz,ULNY_B2,5,SQ_07,SQ_07_Ch_31_+,7,-38629.978,39369.477
XAR,XAR200,100,-43528.95,35274.15,RowPad,7,A,T11+,-45286.616,36369.776,7,11,A,-41279.978,34779.542,157.5,277.5,90ghz,ULNY_B1,2,SQ_07,SQ_07_Ch_56_+,7,-41279.978,34779.542
XAR,XAR250,125,-46178.95,30684.22,RowPad,6,A,T11+,-47936.616,31779.841,6,11,A,-43929.978,30189.608,112.5,232.5,90ghz,ULNY_B2,5,SQ_06,SQ_06_Ch_17_+,6,-43929.978,30189.608
XAR,XAR300,150,-48828.95,26094.28,RowPad,5,A,T11+,-50586.616,27189.907,5,11,A,-46579.978,25599.673,157.5,277.5,90ghz,ULNY_B1,2,SQ_06,SQ_06_Ch_42_+,6,-46579.978,25599.673
XAR,XAR350,175,-51478.95,21504.35,RowPad,4,A,T11+,-53236.616,22599.972,4,11,A,-49229.978,21009.739,112.5,232.5,90ghz,ULNY_B2,5,SQ_10,SQ_10_Ch_3_+,13,-49229.978,21009.739
XAR,XAR400,200,-54128.95,16914.42,RowPad,3,A,T11+,-55886.616,18010.037,3,11,A,-51879.978,16419.804,157.5,277.5,90ghz,ULNY_B1,2,SQ_10,SQ_10_Ch_28_+,13,-51879.978,16419.804
XAR,XAR450,225,-56778.95,12324.48,RowPad,2,A,T11+,-58536.616,13420.103,2,11,A,-54529.978,11829.869,112.5,232.5,90ghz,ULNY_B2,5,SQ_10,SQ_10_Ch_53_+,13,-54529.978,11829.869
XAR,XAR500,250,-59428.95,7734.55,RowPad,1,A,T11+,-61186.616,8830.168,1,11,A,-57179.978,7239.935,157.5,277.5,90ghz,ULNY_B1,2,SQ_11,SQ_11_Ch_14_+,12,-57179.978,7239.935
XAR,XAR550,275,-61888.95,3473.7,RowPad,0,A,T11+,-63646.616,4569.323,0,11,A,-59829.978,2650,112.5,232.5,90ghz,ULNY_B2,5,SQ_11,SQ_11_Ch_39_+,12,-59829.978,2650
XBR,XBR000,0,62912.79,1700.36,RowPad,11,B,T11+,64740.458,2674.734,11,11,B,61359.956,0,157.5,157.5,90ghz,URNY_B1,0,SQ_12,SQ_12_Ch_0_+,11,61359.956,0
XBR,XBR050,25,60262.79,6290.29,RowPad,10,B,T11+,62090.458,7264.668,10,11,B,58709.956,4589.935,112.5,112.5,90ghz,URNY_B2,3,SQ_12,SQ_12_Ch_25_+,11,58709.956,4589.935
XBR,XBR100,50,57612.79,10880.23,RowPad,9,B,T11+,59440.458,11854.603,9,11,B,56059.956,9179.869,157.5,157.5,90ghz,URNY_B1,0,SQ_12,SQ_12_Ch_50_+,11,56059.956,9179.869
XBR,XBR150,75,54962.79,15470.16,RowPad,8,B,T11+,56790.458,16444.538,8,11,B,53409.956,13769.804,112.5,112.5,90ghz,URNY_B2,3,SQ_13,SQ_13_Ch_11_+,10,53409.956,13769.804
XBR,XBR200,100,52312.79,20060.1,RowPad,7,B,T11+,54140.458,21034.472,7,11,B,50759.956,18359.739,157.5,157.5,90ghz,URNY_B1,0,SQ_13,SQ_13_Ch_36_+,10,50759.956,18359.739
